"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Courier Management","Courier Creation","Validate error for missing required fields in courier creation","1","0","2","0","0"
"Courier Management","Courier Creation","Prevent duplicate courier creation","0","0","1","0","0"
"Courier Management","Courier Login","","1","0","3","0","0"
"","","","0","4","1","0","0"
"Courier Management","Courier Creation","Validate status code 201 for successful courier creation","0","0","1","0","0"
"Courier Management","Courier Creation","Validate required fields for courier creation","0","0","1","0","0"
"Courier Management","Courier Creation","Validate 'ok: true' for successful courier creation","0","0","1","0","0"
"Courier Management","Courier Creation","Create a new courier","0","0","1","0","0"
